role_id,title,department,level,headcount_target,open_date,closed_date
1,Mid Analyst,Sales,Junior,1,2023-12-24,2024-02-17
2,Senior Specialist,Sales,Junior,4,2023-07-14,
3,Lead Engineer,Operations,Senior,3,2023-10-02,
4,Junior Engineer,Finance,Mid,3,2023-10-23,
5,Lead Manager,Product,Senior,2,2023-02-10,2023-03-14
6,Senior Engineer,Operations,Mid,2,2023-07-09,2023-10-22
7,Mid Manager,Engineering,Mid,1,2023-03-25,2023-05-18
8,Junior Analyst,Operations,Senior,2,2024-02-17,2024-04-11
9,Lead Analyst,Sales,Mid,2,2023-12-02,2024-03-13
10,Lead Specialist,Product,Senior,2,2024-01-17,2024-03-10
11,Junior Engineer,Marketing,Mid,4,2023-03-12,2023-04-12
12,Lead Specialist,Product,Senior,1,2023-11-02,
13,Senior Manager,Engineering,Senior,4,2023-12-15,2024-03-31
14,Senior Specialist,Marketing,Junior,3,2023-03-22,2023-07-12
15,Mid Manager,Marketing,Junior,3,2023-11-24,2024-01-08
16,Senior Manager,Marketing,Junior,2,2023-09-08,
17,Lead Engineer,Operations,Mid,2,2023-10-18,2023-11-17
18,Mid Manager,Operations,Lead,2,2023-12-04,2024-03-03
19,Mid Manager,Product,Senior,4,2023-10-04,2024-01-20
20,Mid Engineer,Sales,Junior,2,2023-09-22,2023-11-12
21,Junior Engineer,Marketing,Junior,1,2023-10-29,
22,Mid Manager,Finance,Lead,2,2023-06-19,
23,Lead Analyst,Product,Lead,2,2023-10-04,
24,Lead Manager,Product,Lead,4,2023-02-18,
25,Junior Engineer,Product,Senior,1,2024-01-09,
26,Lead Analyst,Product,Mid,3,2023-05-08,
27,Junior Designer,Operations,Junior,1,2023-08-25,
28,Junior Analyst,Marketing,Lead,4,2023-11-30,2023-12-21
29,Lead Engineer,Marketing,Lead,1,2023-09-04,
30,Lead Manager,Product,Lead,2,2023-07-19,
